oid_,addnum_pre,add_number,addnum_suf,addno_full,st_premod,st_predir,st_pretyp,st_presep,st_name,st_postyp,st_posdir,st_posmod,stnam_full,building,floor,unit,room,seat,addtl_loc,subaddress,landmkname,county,inc_muni,post_city,census_plc,uninc_comm,nbrhd_comm,natamarea,natamsub,urbnztn_pr,placeother,placenmtyp,state,zip_code,plus_4,uuid,addauth,addrrefsys,longitude,latitude,natgrid,elevation,placement,addrpoint,related_id,relatetype,parcelsrc,parcel_id,addrclass,lifecycle,effective,expire,dateupdate,anomstatus,locatndesc,addr_type,delivertyp,nad_source,dataset_id
20360575,,1678,,1678,,,,,FRIEDRICH,Street,,,FRIEDRICH Street,,,,,,,,,DuPage,GLENDALE HEIGHTS,Glendale Heights,,,,,,,,,IL,60139,,{244819B1-3C01-46B2-A63F-5CEB1D04C8C6},Reserved for future use,,-88.10011908977039,41.91923068324149,16TDM0877541393,,Unknown,-88.10011908977039 41.91923068324149,,,,,Numbered Thoroughfare Address,,,,2023-07-17 13:15:36,,,Unknown,,State of Illinois,SITE270644@dupagecounty.gov
20716426,,1016,,1016,,,,,SAMSON,Court,,,SAMSON Court,,,,,,,,,Will,UNIVERSITY PARK,UNIVERSITY PARK,,INCORPORATED,,,,,,,IL,60484,,{93951308-E48E-4ADA-8494-A05599DC9B99},Reserved for Future Use,,-87.67186750812661,41.435896238777275,16TDL4386887365,0,Unknown,-87.67186750812661 41.435896238777275 0,,,,,Numbered Thoroughfare Address,,2018-05-08 00:00:00,,2023-09-22 00:00:00,,,Unknown,,State of Illinois,SITE247124@willcounty911.gov
20120795,4N,328,,4N 328,,,,,KAELIN,Road,,,KAELIN Road,,,,,,,,,DuPage,Unincorporated,West Chicago,,West Chicago,,,,,,,IL,60185,0000,{E7BEEE48-C4E4-44CD-8B1B-E70858EC7953},Reserved for future use,,-88.21546637269901,41.935096387666086,16TCM9923443284,,Unknown,-88.21546637269901 41.935096387666086,,,,,Numbered Thoroughfare Address,,,,2023-07-17 13:15:36,,,Unknown,,State of Illinois,SITE29858@dupagecounty.gov
20270306,,214,,214,,South,,,MYRTLE,Avenue,,,South MYRTLE Avenue,,,G,,,,G,,DuPage,VILLA PARK,Villa Park,,,,,,,,,IL,60181,,{A360EF64-8AD8-45EB-A0F9-FB3FA43FFC0A},Reserved for future use,,-87.97104771244364,41.88600840820946,16TDM1943637575,,Unknown,-87.97104771244364 41.88600840820946,,,,,Numbered Thoroughfare Address,,,,2023-07-17 13:15:36,,,Unknown,,State of Illinois,SITE179891@dupagecounty.gov
18591644,,1949,,1949,,North,,,MOZART,Street,,,North MOZART Street,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60647,,{B99C5471-1ED6-4995-A7A5-404F046009DC},chicago911.il.us.gov,,-87.69796635370429,41.917077742773856,16TDM4212040805,,Unknown,-87.69796635370429 41.917077742773856,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE382643@cityofchicago.org
19696100,,418,,418,,,,,SHERWOOD,Road,,,SHERWOOD Road,,-1,,,,,-1,,Cook,LA GRANGE PARK,LA GRANGE PARK,,,,,,,,,IL,60526,,{E2E1435A-52B5-41E8-8706-F5CD7AE24A1E},Reserved for future use,,-87.86949582679054,41.82284507018339,16TDM2779030472,,Unknown,-87.86949582679054 41.82284507018339,,,,,Numbered Thoroughfare Address,,,,2021-03-15 09:17:02,,,Unknown,,State of Illinois,SITE524241142@ltacc.org
21430311,,1224,,1224,,,,,MONROE,Avenue,,,MONROE Avenue,,,,,,,,,Cook,RIVER FOREST,RIVER FOREST,,,,,,,,,IL,60305,,{2E9AB754-0A69-4E85-A99F-E3AEC6718FD5},Reserved for future use,,-87.81249106370028,41.90233126204142,16TDM3260839251,,Unknown,-87.81249106370028 41.90233126204142,,,,,Numbered Thoroughfare Address,,,,2023-08-22 07:40:15,,,Unknown,,State of Illinois,SITE0301402@wscdc.org
19458789,,3460,,3460,,,,,VICTORY,Road,,,VICTORY Road,,,,,,,,,Macoupin,MEDORA,MEDORA,,,,,,,,,IL,62063,863,{5F67EDB0-EDCD-4CE7-B56B-FE92471FC278},macoupin.il.us,,-90.08486623984763,39.20071555131529,15SYD5173343100,0,Unknown,-90.08486623984763 39.20071555131529 0,,,,,Numbered Thoroughfare Address,,1998-04-09 00:00:00,,2025-03-31 11:45:53,,,Unknown,,State of Illinois,SITE8199@macoupincountyil.gov
21739401,,2581,,2581,,,,,PLEASANT,Street,,,PLEASANT Street,,,,,,,,,DeKalb,DEKALB,Dekalb,,,,,,,,,IL,60115,,{61622D36-50DF-49B8-9ECC-3A3E09565D47},Reserved for Future Use,,-88.71663949972672,41.9331188060488,16TCM5768043775,,Unknown,-88.71663949972672 41.9331188060488,,,,,Numbered Thoroughfare Address,,,,2018-10-25 00:00:00,,,Unknown,,State of Illinois,SITE18627@dekalbcounty.org
18331708,,7702,,7702,,South,,,CHAMPLAIN,Avenue,,,South CHAMPLAIN Avenue,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60619,,{72C72B0D-5368-4F1A-91B2-327B525BB580},chicago911.il.us.gov,,-87.60921033955447,41.754673998770606,16TDM4935322717,,Unknown,-87.60921033955447 41.754673998770606,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE133774@cityofchicago.org
18825848,,823,,823,,,,,FIFTH,Street,,,FIFTH Street,,,,,,,,,Marshall,LACON,Lacon,,,,,,,,,IL,61540,,{AD7F9B39-688D-4E6E-8E12-AD9EF82E977A},Reserved for Future Use,,-89.40275841794778,41.02414635398984,16TBL9798944218,0,Unknown,-89.40275841794778 41.02414635398984 0,,,,,Numbered Thoroughfare Address,,,,2020-09-18 00:00:00,,,Unknown,,State of Illinois,SITE4469@marshallcountyillinois.gov
21853853,,802,,802,,East,,,DIVISION,Street,,,East DIVISION Street,,,,,,,,,Macon,DECATUR,DECATUR,,,,,,,,,IL,62526,,{2CFDA260-B01B-4699-B34A-C0AF5B8DAEE7},Reserved for future use,,-88.94673987224432,39.85882936524939,16SCK3347913902,,Unknown,-88.94673987224432 39.85882936524939,,,,,Numbered Thoroughfare Address,,,,2020-11-03 11:19:24,,,Unknown,,State of Illinois,SITE12652@cirdcil.gov
18394562,,5851,,5851,,South,,,LA SALLE,Street,,,South LA SALLE Street,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60621,,{B28EC3EE-5B9D-414B-83D0-D0692A987DF9},chicago911.il.us.gov,,-87.62883220167792,41.7874416388926,16TDM4774826367,,Unknown,-87.62883220167792 41.7874416388926,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE200880@cityofchicago.org
21767139,,37,,37,,,County Road,,1200,,East,,County Road 1200 East,,,,,,,,,Cumberland,UNINCORPORATED,MONTROSE,,,,,,,,,IL,62445,,{2AD9585F-6A04-43D0-A459-D955A29EC7D2},Reserved for Future Use,,-88.24795004536254,39.17717752116922,16SCJ9220637180,0,Unknown,-88.24795004536254 39.17717752116922 0,,,,,Numbered Thoroughfare Address,,,,2020-12-30 00:00:00,,,Unknown,,State of Illinois,SITE4885@cumberlandcoil.gov
21298937,,1435,,1435,,North,,,46TH,Street,,,North 46TH Street,,,,,,,,,St. Clair,WASHINGTON PARK,WASHINGTON PARK,,,,,,,,,IL,62204,,{9D549B41-7B6A-4942-AA04-46DC1FD3BF5D},Reserved For Future Use,,-90.10188704713393,38.62774154069996,15SYC5228679452,,Unknown,-90.10188704713393 38.62774154069996,,,,,Numbered Thoroughfare Address,,,,2013-09-10 00:00:00,,,Unknown,,State of Illinois,SITE100023@co.st-clair.il.us
19274489,,2543,,2543,,,,,37TH,Avenue,,,37TH Avenue,,,,,,,,,Rock Island,ROCK ISLAND,ROCK ISLAND,,,,,,,,,IL,61201,,{3D548294-2B17-4C5F-9C04-31A8D5AF8F20},rockislandcountyil.gov,,-90.56353587281383,41.47344259770039,15TYF0344494181,,Unknown,-90.56353587281383 41.47344259770039,,,,,Numbered Thoroughfare Address,,,,2020-04-29 17:04:57,,,Unknown,,State of Illinois,SITE61468@rockislandcountyil.gov
18864132,,224,,224,,South,,,MAIN,Street,,,South MAIN Street,,,,,,,,,DeWitt,FARMER CITY,FARMER CITY,,,,,,,,,IL,61842,,{7A39AAA8-FE1D-409E-9FB9-8C07D7C470C2},Reserved for Future Use,,-88.64279180655622,40.24267503026467,16TCK6026655986,0,Unknown,-88.64279180655622 40.24267503026467 0,,,,,Numbered Thoroughfare Address,,,,2021-07-28 00:00:00,,,Unknown,,State of Illinois,SITE4888@dewittcountyil.gov
19267016,,3408,,3408,,,,,45TH,Street,,,45TH Street,,,,,,,,,Rock Island,MOLINE,MOLINE,,,,,,,,,IL,61265,,{8DE8A6AA-66AA-4F56-A7D0-CADC79E627D9},rockislandcountyil.gov,,-90.47166363797768,41.478314256269776,15TYF1110094942,,Unknown,-90.47166363797768 41.478314256269776,,,,,Numbered Thoroughfare Address,,,,2020-04-29 17:04:57,,,Unknown,,State of Illinois,SITE53992@rockislandcountyil.gov
21128952,,2033,,2033,,North,,,MANNHEIM,Road,,,North MANNHEIM Road,,,,,,,,,Cook,MELROSE PARK,MELROSE PARK,,,,,,,,,IL,60160,,{BEE7E58C-7198-40DC-934F-29098E8BC1AF},Reserved for future use,,-87.88356216044733,41.91293156524386,16TDM2672540486,,Structure - Rooftop,-87.88356216044733 41.91293156524386,,,,,Numbered Thoroughfare Address,,,,2023-10-10 08:35:05,,,Unknown,,State of Illinois,SITE70292@norcomm911.com
18146268,,2717,,2717,,,,,SPRINGDALE,Circle,,,SPRINGDALE Circle,,,,,,,,,Will,NAPERVILLE,NAPERVILLE,,,,,,,,,IL,60564,,{52F86848-9746-4E48-B85A-B2BB157339F7},Reserved for future use,,-88.1767110013866,41.713078471327734,16TDM0211018589,,Unknown,-88.1767110013866 41.713078471327734,,,,,Numbered Thoroughfare Address,,2025-05-16 00:00:00,,2025-06-03 17:29:08,,,Unknown,,State of Illinois,SITE82587@naperville.il.us
19708917,,22132,,22132,,East,County Road,,1300,,North,,East County Road 1300 North,,,,,,,,,Coles,UNINCORPORATED,ASHMORE,,,,,,,,,IL,61912,,{702FE17F-4AF6-4596-BF0E-4EFF681ED46D},Reserved for Future Use,,-88.06196088611952,39.56452080498459,16SDJ0877779963,0,Unknown,-88.06196088611952 39.56452080498459 0,,,,,Numbered Thoroughfare Address,,,,2020-09-29 00:00:00,,,Unknown,,State of Illinois,SITE12207@colesco.illinois.gov
20177851,2S,155,,2S 155,,,,,HAMPTON,Lane,,,HAMPTON Lane,,,,,,,,,DuPage,Unincorporated,Lombard,,Lombard,,,,,,,IL,60148,0000,{2AE48A05-6602-4BB4-B5B1-8ADB5B95E93F},Reserved for future use,,-88.03246037119087,41.84207879081617,16TDM1428232757,,Unknown,-88.03246037119087 41.84207879081617,,,,,Numbered Thoroughfare Address,,,,2023-07-17 13:15:36,,,Unknown,,State of Illinois,SITE87066@dupagecounty.gov
20404796,,860,,860,,,,,KAUTZ,Road,,,KAUTZ Road,,,,,,,,,DuPage,Unincorporated,Warrenville,,Warrenville,,,,,,,IL,60555,,{960E36D4-3A4C-4CC8-938B-1522157DEDED},Reserved for future use,,-88.26031402394518,41.823184859766826,16TCM9533430912,,Unknown,-88.26031402394518 41.823184859766826,,,,,Numbered Thoroughfare Address,,,,2025-10-30 00:00:00,,,Unknown,,State of Illinois,SITE315345@dupagecounty.gov
21122168,,109,,109,,,,,MELMAR,Court,,,MELMAR Court,,,,,,,,,Randolph,SPARTA,SPARTA,,,,,,,,,IL,62286,,{24ACC64E-84DA-4527-9317-C28B2A0F1F17},Reserved for Future Use,,-89.70646931941774,38.144627181825896,16SBH6282525323,0,Unknown,-89.70646931941774 38.144627181825896 0,,,,,Numbered Thoroughfare Address,,2021-01-28 00:00:00,2999-07-31 00:00:00,2021-01-28 00:00:00,,,Unknown,,State of Illinois,SITE25574@randolphcountyil.gov
18481416,,2023,,2023,,West,,,21ST,Street,,,West 21ST Street,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60608,,{69FFCC17-53B5-4BC9-8B82-8DB5432530EE},chicago911.il.us.gov,,-87.67681921870371,41.85383051015988,16TDM4381933768,,Unknown,-87.67681921870371 41.85383051015988,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE289251@cityofchicago.org
18716709,,5214,,5214,,North,,,CALIFORNIA,Avenue,,,North CALIFORNIA Avenue,,,,,,,,,Cook,CHICAGO,Chicago,,,,,,,,,IL,60625,,{3497AB54-6052-4248-8C53-7591673A583B},chicago911.il.us.gov,,-87.69913563860734,41.97613378472557,16TDM4207747362,,Unknown,-87.69913563860734 41.97613378472557,,,,,Numbered Thoroughfare Address,,,,2023-01-09 00:00:00,,,Unknown,,State of Illinois,SITE523122@cityofchicago.org
22485212,,16209,,16209,,,,,LATHROP,Avenue,,,LATHROP Avenue,,,,,,,,,Cook,HARVEY,HARVEY,,,,,,,,,IL,60426,,{F13324F9-37DB-4920-AD36-C1F9E6DDA8D6},cookcountyil.gov,,-87.64105157126278,41.59498006106523,16TDM4657405007,,Unknown,-87.64105157126278 41.59498006106523,,,,,Numbered Thoroughfare Address,,,,2025-10-27 12:16:58,,,Unknown,,State of Illinois,SITE66799@cookcountyil.gov
22301293,,611,,611,,East,,,EUCLID,Avenue,,,East EUCLID Avenue,,,,,,,,,Warren,MONMOUTH,MONMOUTH,,,,,,,,,IL,61462,1351,{2EBFF887-B4AB-4553-BDA0-232A27D62DCF},RESERVED FOR FUTURE USE,,-90.64121752710794,40.917016199746286,15TXF9863332223,0,Unknown,-90.64121752710794 40.917016199746286 0,,,,,Numbered Thoroughfare Address,,,,2020-03-27 00:00:00,,,Unknown,,State of Illinois,SITE4665@warrencountyil.gov
21249966,,2915,,2915,,,,,TURKEY HILL,Lane,,,TURKEY HILL Lane,,,,,,,,,St. Clair,BELLEVILLE,BELLEVILLE,,,,,,,,,IL,62221,,{65FA2187-0F67-4A74-BCEC-66C3920D2D10},Reserved For Future Use,,-89.91991458790288,38.48135431893938,16SBH4529863264,,Unknown,-89.91991458790288 38.48135431893938,,,,,Numbered Thoroughfare Address,,,,2013-05-10 00:00:00,,,Unknown,,State of Illinois,SITE48475@co.st-clair.il.us
18983539,,4306,,4306,,North,,,3200 EAST,Road,,,North 3200 EAST Road,,,,,,,,,McLean,UNINCORPORATED,ARROWSMITH,,,,,,,,,IL,61722,,{7C73EBC3-88EF-44C5-8718-C9D6C27C0B40},RESERVED FOR FUTURE USE,,-88.65109612679171,40.344898404226214,16TCK5977167346,,Unknown,-88.65109612679171 40.344898404226214,,,,,Numbered Thoroughfare Address,,,,2025-03-31 00:00:00,,,Unknown,,State of Illinois,SITE15041@mcleancountyil.gov
21352924,,831,,831,,East,,,193RD,Place,,,East 193RD Place,,,,,,,,,Cook,GLENWOOD,GLENWOOD,,,,,,,,,IL,60425,,{7D0209D5-79E5-4DE6-9348-3A06A46F9C38},Reserved for future use,,-87.59127794976561,41.53798340081943,16TDL5067998649,,Unknown,-87.59127794976561 41.53798340081943,,,,,Numbered Thoroughfare Address,,,,2020-05-14 00:00:00,,,Unknown,,State of Illinois,SITE14956@ecom911.net
19897084,,11,,11,,,,,WILLOWMERE,Drive,,,WILLOWMERE Drive,,,,,,,,,Cook,SOUTH BARRINGTON,Barrington,,,,,,,,,IL,60010,,{31D0D4D0-5402-443A-9154-FA03A6578267},Reserved for Future Use,,-88.13492023889884,42.098514393757675,16TDM0615361337,,Unknown,-88.13492023889884 42.098514393757675,,,,,Numbered Thoroughfare Address,,2020-04-07 15:00:00,,2022-01-27 12:00:00,,,Unknown,,State of Illinois,SITE17230@quadcom911.org
19812985,,1315,,1315,,,,,RIDGE,Avenue,,,RIDGE Avenue,,,,,,,,,Winnebago,Unincorporated,Rockford,,,,,,,,,IL,61103,,{ADBAD015-E67B-4EB6-9FD1-FAB2D01035A6},Reserved for future use,,-89.09035865082541,42.287558860149154,16TCM2765983820,,Unknown,-89.09035865082541 42.287558860149154,,,,,Numbered Thoroughfare Address,,,,2025-08-22 10:00:51,,,Unknown,,State of Illinois,SITE54880@wincoil.gov
21594992,,804,,804,,South,,,WINCHESTER,Drive,,,South WINCHESTER Drive,,,,,,,,,Lake,ROUND LAKE,ROUND LAKE,,,,,,,,,IL,60073,5708,{38E32559-F986-4C91-AFB1-5161D7048006},lakecountyil.gov,,-88.09409250273501,42.33348996631737,16TDM0986387383,,Structure - Rooftop,-88.09409250273501 42.33348996631737,,,,,Numbered Thoroughfare Address,,,,2020-09-30 10:08:04,,,Unknown,,State of Illinois,SITE142101@lakecounty911.org
17803596,,1523,,1523,,East,,,ANDERSON,Drive,,,East ANDERSON Drive,,,,,,,,,Cook,PALATINE,Palatine,,,,,,,,,IL,60074,,{D2FCC03B-DFE5-4D9C-B80C-D2F42A195005},RESERVED FOR FUTURE USE,,-88.00626442312084,42.11608343498037,16TDM1681463154,,Unknown,-88.00626442312084 42.11608343498037,,,,,Numbered Thoroughfare Address,,2025-03-18 00:00:00,,2025-03-18 00:00:00,,,Unknown,,State of Illinois,SITE122971@nwcds.org
20650312,,415,,415,,North,,,WILLIAM,Street,,,North WILLIAM Street,,,,,,,,,Will,JOLIET,JOLIET,,INCORPORATED,,,,,,,IL,60435,,{E0B1BC4F-BFBC-4380-ADDF-FF833CF89621},Reserved for Future Use,,-88.10493930136295,41.53155384566859,16TDL0782298356,0,Unknown,-88.10493930136295 41.53155384566859 0,,,,,Numbered Thoroughfare Address,,2015-11-17 00:00:00,,2023-09-22 00:00:00,,,Unknown,,State of Illinois,SITE180933@willcounty911.gov
